gene_name,logFC,logCPM,F,PValue,FDR
HBD,-18.273967157116154,9.5628078618564,46.65029736404791,8.545056603143753e-12,1.7290922036461384e-7
ENSG10010139367.1,-17.649665730331723,8.938617763500813,45.143874706743766,1.842839406062197e-11,1.864492769083428e-7
AQP9,-15.70414879022701,7.349606642407476,40.412758025440674,2.0668463009176455e-10,1.0998266109238925e-6
CXCR1,-14.963081664378272,6.252996881077321,39.71393827448507,2.9552671148266075e-10,1.0998266109238925e-6
MEFV,-14.75271680047191,6.04281925714721,39.573129879058676,3.176099366507096e-10,1.0998266109238925e-6
FPR2,-14.641776057631814,5.931976368700824,39.521491809875855,3.261161188803239e-10,1.0998266109238925e-6
ADGRE3,-13.942470037205876,5.233551274343507,39.03241685711776,4.18891769227012e-10,1.2108964214726554e-6
ADGRG3,-13.615974381443502,4.9076014424405985,38.33642177659575,5.982575433847033e-10,1.451146581656693e-6
GLT1D1,-13.5361894619078,4.828029253496887,38.08777415133251,6.795202221701085e-10,1.451146581656693e-6
FCAR,-13.505521114434869,4.797405480241506,37.98257284100772,7.17146815743362e-10,1.451146581656693e-6
LINC01667,-13.275188350829007,4.5676810607153815,37.01226368167743,1.1791284398271643e-9,1.8979105959853999e-6
PROK2,-13.564090502095437,5.955987834454902,36.981568582607316,1.1978291253755025e-9,1.8979105959853999e-6
SLC4A1,-13.286194326025818,5.624326802413853,36.946888887793186,1.2193149368821448e-9,1.8979105959853999e-6
NFE2,-13.128531398483386,4.421045265417883,36.21287994015925,1.776545739607884e-9,2.405341551906266e-6
ALAS2,-13.895255930897225,8.159710331010182,36.20574907657431,1.7830552645709906e-9,2.405341551906266e-6
DUX4L9,-13.052841358950735,4.3459349600905135,35.747285695004905,2.255821195166345e-9,2.852908867761937e-6
IKZF1,-13.01104081414207,4.303993834611593,35.46967978125983,2.601164032630238e-9,3.0125062906483285e-6
IFIT1,-12.999826133225,4.29307405229222,35.39582920678745,2.7016371673311756e-9,3.0125062906483285e-6
FFAR2,-12.49294689447008,5.5042898770124875,35.30631551591568,2.8286444043646276e-9,3.0125062906483285e-6
REXO1L6P,-12.956770429381532,4.250189585054588,35.096521911186485,3.150238410816981e-9,3.158512509731036e-6
FCGR3B,-13.473788729047419,8.385197696904061,35.01912083176133,3.277922545310193e-9,3.158512509731036e-6
PDE4B,-12.196708502669601,5.3753934572553455,34.74252369567131,3.7780644108320375e-9,3.4749606069630127e-6
LILRA6,-11.873976705342793,4.877764475418212,34.23441382974162,4.90446564935486e-9,4.247903046288022e-6
TFF1,13.413733453441605,9.044647986117422,34.18200563434625,5.038283820652955e-9,4.247903046288022e-6
RNU2-2P,-12.813724376015863,4.107898310097588,34.013016298147434,5.495194094575251e-9,4.443362268054812e-6
DUX4L11,-12.801097859216469,4.09503303529642,33.908081303592105,5.799570251823935e-9,4.443362268054812e-6
CR1,-11.727917472229507,5.041118625228643,33.86516248618448,5.928874783171728e-9,4.443362268054812e-6
DUX4L23,-12.76415974930792,4.058234609219944,33.60318368330219,6.783198090262422e-9,4.902071905587861e-6
MIR3198-1,-12.735453548266467,4.0295865334183425,33.360342625316584,7.684874915361428e-9,5.36218772111512e-6
MIR212,-12.70666284399709,4.000721610425708,33.1110624199466,8.735490164937037e-9,5.892088116250032e-6
FPR1,-12.669582508559868,8.086701648657657,32.84285068672981,1.0027130944641235e-8,6.545128860155335e-6
MOB4,13.17215372394808,4.466818702232941,32.61694250708114,1.1262383734995765e-8,6.5764889210808235e-6
CLEC4E,-11.362643437769126,4.624562244570136,32.603116807524565,1.1342751486020897e-8,6.5764889210808235e-6
